"d","monthly","bimonthly","trimonthly","semianually","anually"
0.481453280851271,0.00412471670169111,0.00787360142423128,0.0113818855250578,0.0211984620101175,0.0394917470271315
0.48128453020739,0.00389586791464476,0.00752629531684228,0.0109476682922577,0.0205797107083634,0.0386349108838643
0.48148918701889,0.00356593770144205,0.00702789447007944,0.0103233564180754,0.0196810702292813,0.0373663614636329
0.481675558216181,0.00334332025622055,0.00668107885124036,0.00988363354105997,0.0190396463622682,0.0364548116055869
0.481634224009283,0.00333832128815463,0.00665303879284071,0.00983982881028285,0.0189681340166596,0.0363615165443268
0.481733690265199,0.003089937728726,0.00627210033018972,0.00935887415072954,0.0182680408410282,0.035364361910554
0.481524996896806,0.0032241741751629,0.00644923730137715,0.00957001610817508,0.0185622664052731,0.0357917877804203
0.481403159362633,0.00301874569505282,0.00613606830162485,0.00917567596864476,0.0179913486240252,0.0349854191644511
0.481147016085378,0.00309830619937857,0.00623703089763831,0.00929406071259572,0.0181552733411611,0.0352295028417064
0.481180494384539,0.00306051413076465,0.00617091186378056,0.00920705928422224,0.018026122281409,0.0350523413263792
0.48109973213986,0.00293068243464233,0.00597001617392595,0.00895262071009672,0.0176562511917218,0.0345316787260188
0.481081854926323,0.00275350355031722,0.00569657559781071,0.00860584316856129,0.0171479703352478,0.033803903320199
0.480888585917879,0.00271414648864651,0.00562265165926493,0.00850563427550182,0.0169923846910596,0.0335802964396531
0.480642631197337,0.00263206116994878,0.0054878939773239,0.00833064835149604,0.0167303818296502,0.0332051111565925
0.48025851038126,0.00272960242557075,0.00561698283597965,0.00848395517134463,0.0169421810534564,0.0335112401105778
0.480138302130275,0.00258449588985776,0.00539406432758325,0.00820107130803536,0.0165256890355995,0.0329100959910749
0.479898648480181,0.00254512560966913,0.00532282689018376,0.00810491544818724,0.0163749778319728,0.0326875466684932
0.479338982683552,0.00241140784244617,0.00511456874729254,0.00783935537704691,0.0159829525480965,0.0321247041132252
0.478870467507307,0.00229666018347966,0.00493090411670119,0.00760199664544822,0.0156250599107789,0.0315990640255471
0.478292928130736,0.00224804917775656,0.00484263051116449,0.00748185884837039,0.015431879611757,0.0313015192940055
0.476782627387343,0.00243953545528943,0.00510880216451354,0.00780402717009348,0.0158806278646164,0.0319339405951492
0.475895467200486,0.00232156215132205,0.00492885563600303,0.0075757940819027,0.0155438874313948,0.0314461808390762
0.488505446734609,0.00218260155426513,0.00470767955552338,0.00729032335594593,0.0151126918295658,0.0308066397624917
0.48799784685671,0.00207109551404155,0.00451292417380149,0.00701971601568863,0.0146306689434418,0.0299232004031127
0.487436889305862,0.00200126984823722,0.00436848103341954,0.00679952705248974,0.0141753298375948,0.028970789537421
0.488673552083414,0.0020560456760391,0.00442839683607297,0.00685801853378099,0.0142154633557403,0.0289487243742772
