"d","monthly","bimonthly","trimonthly","semianually","anually"
0.481453280851271,0.00412471670169111,0.00787360142423128,0.0113818855250578,0.0211984620101175,0.0394917470271315
0.481627787313666,0.00389391997927145,0.00752138589560309,0.0109390510784024,0.0205570931343927,0.0385773380845002
0.481896558150559,0.00356154094752439,0.00701682673812055,0.0103041571224082,0.0196320205122456,0.037244635689381
0.482239173534609,0.00333654010353403,0.0066640653749324,0.00985423096406709,0.0189650521447403,0.0362707733165101
0.48235405480106,0.00332954044875537,0.0066305805314107,0.00980075398521383,0.0188683580596433,0.0361146551300259
0.48255847474505,0.00307852771094731,0.00624331062810296,0.00930913701938131,0.0181422955914031,0.0350554379813288
0.482516691240294,0.00321160182729879,0.00641664485680348,0.00951309616939125,0.0184165824129882,0.0354313360335326
0.482608472521293,0.00300321056075256,0.00609661073524303,0.00910738179111099,0.0178184501918549,0.0345604821620959
0.482630314427817,0.00308140738836809,0.00619339248646583,0.00921802480641147,0.0179612679903152,0.0347504064207078
0.482697155282135,0.00304222245132694,0.00612358017870084,0.00912455134592309,0.0178156272436958,0.0345328227086428
0.482819785324981,0.00290986229969512,0.0059167732863902,0.00886029653520321,0.0174222497017914,0.0339564994442821
0.482982400964026,0.00272988505598269,0.00563700038678893,0.00850320132461999,0.0168899648842906,0.0331731311003641
0.483103573999402,0.00268845433393992,0.00555773069667783,0.00839376111751765,0.0167112304969563,0.0328931236580693
0.483235342156861,0.00260361082141474,0.00541649829660526,0.008208042293261,0.0164236446748778,0.0324575688143367
0.483245567336295,0.00270055224059801,0.0055427355015222,0.00835549977865315,0.0166179939369968,0.0327169583673428
0.483330967158783,0.00255253821938103,0.00531396016346895,0.00806365921839682,0.0161825346175932,0.0320748962630406
0.483433087776363,0.002511511794888,0.00523861110894998,0.00796055590714874,0.0160149553126739,0.0318121917576693
0.483576237167504,0.00237319078292239,0.00502078973714896,0.0076801690718586,0.0155908918442428,0.0311790208109269
0.48375171531752,0.00225463083471717,0.00482924877397975,0.00743071542309359,0.0152074366132736,0.0305985239871736
